id,job_number,drawing_name,original_path,review_path,department,reviewer,review_type,status,created_date,completed_date,notes,file_size
1,11111,21-2330revA TWT OUTLINE.pdf,"F:/Able Linen/Orlando, FL/34107/4. Drafting/Systems/21-2330revA TWT OUTLINE.pdf",ProjectBackup\Drawing Reviews\11111\21-2330revA TWT OUTLINE.pdf,Drafting,llaing,imported,pending,2025-10-17T14:53:02.317132,,,126034
2,11111,CO2 ABLE LINEN - SOFTENER REMOVAL1.pdf,"F:/Able Linen/Orlando, FL/34107\1. Sales\Change Orders\Accepted COs\CO2 - Softener Removal\CO2 ABLE LINEN - SOFTENER REMOVAL1.pdf",ProjectBackup\Drawing Reviews\11111\CO2 ABLE LINEN - SOFTENER REMOVAL1.pdf,Drafting,llaing,imported,pending,2025-10-17T14:53:36.403491,,,2438649
3,11111,34107-CO1-Proposal.pdf,"F:/Able Linen/Orlando, FL/34107\1. Sales\Change Orders\Proposed COs\34107-CO1\34107-CO1-Proposal.pdf",ProjectBackup\Drawing Reviews\11111\34107-CO1-Proposal.pdf,Drafting,llaing,imported,pending,2025-10-17T14:53:36.947976,,,326254
4,11111,Braun PO SPM0587347 KEMCO-ABLE.pdf,"F:/Able Linen/Orlando, FL/34107\1. Sales\Order\Braun PO SPM0587347 KEMCO-ABLE.pdf",ProjectBackup\Drawing Reviews\11111\Braun PO SPM0587347 KEMCO-ABLE.pdf,Drafting,llaing,imported,pending,2025-10-17T14:53:37.349401,,,115477
5,11111,P-202-Plumbing-Floor-Plan.pdf,"F:/Able Linen/Orlando, FL/34107\1. Sales\Order\P-202-Plumbing-Floor-Plan.pdf",ProjectBackup\Drawing Reviews\11111\P-202-Plumbing-Floor-Plan.pdf,Drafting,llaing,imported,pending,2025-10-17T14:53:39.495551,,,2347996
6,11111,0104143-IN G.A BRAUN JOB 34107 ABLE LINEN DEPOSIT - CR.pdf,"F:/Able Linen/Orlando, FL/34107\2. Accounting\0104143-IN G.A BRAUN JOB 34107 ABLE LINEN DEPOSIT - CR.pdf",ProjectBackup\Drawing Reviews\11111\0104143-IN G.A BRAUN JOB 34107 ABLE LINEN DEPOSIT - CR.pdf,Drafting,llaing,imported,pending,2025-10-17T14:53:39.983833,,,41698
7,11111,0104143-IN G.A BRAUN JOB 34107 ABLE LINEN DEPOSIT.pdf,"F:/Able Linen/Orlando, FL/34107\2. Accounting\0104143-IN G.A BRAUN JOB 34107 ABLE LINEN DEPOSIT.pdf",ProjectBackup\Drawing Reviews\11111\0104143-IN G.A BRAUN JOB 34107 ABLE LINEN DEPOSIT.pdf,Drafting,llaing,imported,pending,2025-10-17T14:53:40.487310,,,183234
8,11111,0105699-IN G.A BRAUN JOB 34107 ABLE LINEN EQUIP READY - CR.pdf,"F:/Able Linen/Orlando, FL/34107\2. Accounting\0105699-IN G.A BRAUN JOB 34107 ABLE LINEN EQUIP READY - CR.pdf",ProjectBackup\Drawing Reviews\11111\0105699-IN G.A BRAUN JOB 34107 ABLE LINEN EQUIP READY - CR.pdf,Drafting,llaing,imported,pending,2025-10-17T14:53:40.991310,,,36841
9,11111,0105699-IN G.A BRAUN JOB 34107 ABLE LINEN EQUIP READY.pdf,"F:/Able Linen/Orlando, FL/34107\2. Accounting\0105699-IN G.A BRAUN JOB 34107 ABLE LINEN EQUIP READY.pdf",ProjectBackup\Drawing Reviews\11111\0105699-IN G.A BRAUN JOB 34107 ABLE LINEN EQUIP READY.pdf,Drafting,llaing,imported,pending,2025-10-17T14:53:41.509850,,,148258
10,11111,0106383-IN G.A BRAUN JOB 34107 ABLE LINEN STORAGE FEES MAY.pdf,"F:/Able Linen/Orlando, FL/34107\2. Accounting\0106383-IN G.A BRAUN JOB 34107 ABLE LINEN STORAGE FEES MAY.pdf",ProjectBackup\Drawing Reviews\11111\0106383-IN G.A BRAUN JOB 34107 ABLE LINEN STORAGE FEES MAY.pdf,Drafting,llaing,imported,pending,2025-10-17T14:53:41.992214,,,145842
