id,job_number,drawing_path,drawing_name,drawing_type,file_extension,added_date,added_by,printed
4,35359,C:\$WorkingFolder\Jobs F\STANDARDS\Stack Sections\24\1035853 24X10FOE.idw,1035853 24X10FOE.idw,Inventor,.idw,2025-10-10 08:58:16,Import,1
5,35359,C:\$WorkingFolder\Jobs F\STANDARDS\Stack Sections\24\1048136 24X10FBE.idw,1048136 24X10FBE.idw,Inventor,.idw,2025-10-10 08:58:16,Import,1
6,35359,C:\$WorkingFolder\Jobs F\STANDARDS\Stack Sections\Stack Caps\24\1058850 STACK CAP 24.idw,1058850 STACK CAP 24.idw,Inventor,.idw,2025-10-10 08:58:16,Import,1
7,35354,C:\$WorkingFolder\Jobs F\STANDARDS\HEATER\GAS PRESS SWITCH ASSY\1062998 AIR PR SW BURNER MTD.idw,1062998 AIR PR SW BURNER MTD.idw,Inventor,.idw,2025-10-10 09:03:58,User,0
8,35354,C:\$WorkingFolder\Jobs F\STANDARDS\HEATER\GAS PRESS SWITCH ASSY\1063013 HIGH GAS PR SW MANUAL RESET.idw,1063013 HIGH GAS PR SW MANUAL RESET.idw,Inventor,.idw,2025-10-10 09:04:40,User,0
9,35354,C:\$WorkingFolder\Jobs F\STANDARDS\HEATERS\GAS TRAIN\NIPPLE CONTROL LINE\3-5.5 MBTU\1063195-2 GAS TRAIN NIPPLE 3-5.5MBTU.idw,1063195-2 GAS TRAIN NIPPLE 3-5.5MBTU.idw,Inventor,.idw,2025-10-10 09:05:31,User,0
10,35354,C:\$WorkingFolder\Jobs F\STANDARDS\HEATER\GAS PRESS SWITCH ASSY\1063200 LOW GAS PR SW AUTO RESET 0.8-4.idw,1063200 LOW GAS PR SW AUTO RESET 0.8-4.idw,Inventor,.idw,2025-10-10 09:06:12,User,0
11,35354,C:\$WorkingFolder\Jobs F\STANDARDS\HEATERS\SNOUT\SS304\1010601SS BURNER SNOUT MANWAY SS304.idw,1010601SS BURNER SNOUT MANWAY SS304.idw,Inventor,.idw,2025-10-10 09:07:28,User,0
13,35354,"V:\FABS\HEATER\Burners (Maxon)\Single\DISCHARGE SLEEVE\12 INCH (MAXON 456-487, EB7)\SS304\SS FLANGE\1014225SSrevF DISCHARGE SLEEVE 304 12IN.dwg",1014225SSrevF DISCHARGE SLEEVE 304 12IN.dwg,AutoCAD,.dwg,2025-10-10 09:13:05,User,0
14,35354,C:\$WorkingFolder\Jobs F\STANDARDS\HEATERS\JUNCTION BOX PLATE\RM\1044131 JBOX PLATE RM.idw,1044131 JBOX PLATE RM.idw,Inventor,.idw,2025-10-10 09:13:47,User,0
