id,job_number,file_path,change_type,old_hash,new_hash,change_date,acknowledged
9,35256,PlymateShell092925KOM AND OC FORM.xlsx,new,,d8fba23f7efee8789d8e88cd6fbeeb58,2025-10-17T08:49:44.273252,1
10,35256,1. Sales\Order\35256 - 120V Panel Cost.xlsm,new,,7640ca9710f011c3be2a4539f9e1f361,2025-10-17T08:49:47.770678,1
11,35256,1. Sales\Order\35256 - Cost.xlsm,new,,b22c345f9bdcb341eb28efb1caef6da4,2025-10-17T08:49:52.177946,1
12,35256,1. Sales\Order\35256 - Gas Train Sizing.xlsm,new,,e04315fe45ccad7046c8eddb836440bd,2025-10-17T08:49:55.499963,1
13,35256,1. Sales\Order\35256B - Proposal.docx,new,,b993e8df0616c5f33b523521c1e9043e,2025-10-17T08:49:56.370143,1
14,35256,1. Sales\Order\IMG_3551.JPG,new,,33b56fcf41d92fba0ebe4071a93e9fe5,2025-10-17T08:49:58.334079,1
15,35256,1. Sales\Order\IMG_5331.JPG,new,,7e660a900afa0a1eed70e075f58be61b,2025-10-17T08:49:59.867283,1
16,35256,1. Sales\Order\Misc  -   Plymate (Shelbyville_ IN)  -  Laundry.msg,new,,17da15d8ca3cb3f7c26717f31f545a88,2025-10-17T08:50:02.921563,1
17,35256,1. Sales\Order\Order Confirmation  -  35256B  -  Plymate (Shelbyville_ IN)  -  Laundry.msg,new,,4297c4c17681d2b71f71289214e6272c,2025-10-17T08:50:04.785262,1
18,35256,1. Sales\Order\Plymate030625 Shell Survey.pdf,new,,886958e7a0ac2ba40453a9ef04271431,2025-10-17T08:50:05.857559,1
19,35256,1. Sales\Order\Thumbs.db,new,,a768be9163bf979cd00a7034ad2c6a52,2025-10-17T08:50:06.498203,1
20,35256,1. Sales\Order\[Untitled].pdf,new,,4872c464b81eec6dcaef50635bf8e686,2025-10-17T08:50:07.266555,1
21,35256,4. Drafting\Fabs\35256 D365 IMPORT.xlsx,new,,e68ecec2c60f7c36b341ef1e5511ed95,2025-10-17T08:50:09.628010,1
22,35256,4. Drafting\Fabs\35256 TRANMITTAL NOTICE.dwg,new,,c7a0db6a56d40c410ffea385313d9e7d,2025-10-17T08:50:10.039832,1
23,35256,"4. Drafting\Shippers\35256- Plymate Inc- Shelbyville, IN- SHIPPER .xlsx",new,,53de2dbdbd5efac545b10110d79c8f81,2025-10-17T08:50:12.796196,1
24,35256,4. Drafting\Shippers\Void Shippers\SHIPPER TEMPLATE - Shortcut.lnk,new,,7b99711fa059325aebb0c007ba7bb94a,2025-10-17T08:50:13.319328,1
33,35256,PlymateShell092925KOM AND OC FORM.xlsx,updated,d8fba23f7efee8789d8e88cd6fbeeb58,d8fba23f7efee8789d8e88cd6fbeeb58,2025-10-17T08:55:36.770631,1
34,35256,1. Sales\Order\35256 - 120V Panel Cost.xlsm,updated,7640ca9710f011c3be2a4539f9e1f361,7640ca9710f011c3be2a4539f9e1f361,2025-10-17T08:55:39.638198,1
35,35256,1. Sales\Order\35256 - Cost.xlsm,updated,b22c345f9bdcb341eb28efb1caef6da4,b22c345f9bdcb341eb28efb1caef6da4,2025-10-17T08:55:43.050817,1
36,35256,1. Sales\Order\35256 - Gas Train Sizing.xlsm,updated,e04315fe45ccad7046c8eddb836440bd,e04315fe45ccad7046c8eddb836440bd,2025-10-17T08:55:46.074271,1
37,35256,1. Sales\Order\35256B - Proposal.docx,updated,b993e8df0616c5f33b523521c1e9043e,b993e8df0616c5f33b523521c1e9043e,2025-10-17T08:55:46.735566,1
38,35256,1. Sales\Order\IMG_3551.JPG,updated,33b56fcf41d92fba0ebe4071a93e9fe5,33b56fcf41d92fba0ebe4071a93e9fe5,2025-10-17T08:55:48.875820,1
39,35256,1. Sales\Order\IMG_5331.JPG,updated,7e660a900afa0a1eed70e075f58be61b,7e660a900afa0a1eed70e075f58be61b,2025-10-17T08:55:50.443370,1
40,35256,1. Sales\Order\Misc  -   Plymate (Shelbyville_ IN)  -  Laundry.msg,updated,17da15d8ca3cb3f7c26717f31f545a88,17da15d8ca3cb3f7c26717f31f545a88,2025-10-17T08:55:53.546190,1
41,35256,1. Sales\Order\Order Confirmation  -  35256B  -  Plymate (Shelbyville_ IN)  -  Laundry.msg,updated,4297c4c17681d2b71f71289214e6272c,4297c4c17681d2b71f71289214e6272c,2025-10-17T08:55:55.397166,1
42,35256,1. Sales\Order\Plymate030625 Shell Survey.pdf,updated,886958e7a0ac2ba40453a9ef04271431,886958e7a0ac2ba40453a9ef04271431,2025-10-17T08:55:56.404990,1
43,35256,1. Sales\Order\Thumbs.db,updated,a768be9163bf979cd00a7034ad2c6a52,a768be9163bf979cd00a7034ad2c6a52,2025-10-17T08:55:56.852571,1
44,35256,1. Sales\Order\[Untitled].pdf,updated,4872c464b81eec6dcaef50635bf8e686,4872c464b81eec6dcaef50635bf8e686,2025-10-17T08:55:57.442753,1
45,35256,4. Drafting\Fabs\35256 D365 IMPORT.xlsx,updated,e68ecec2c60f7c36b341ef1e5511ed95,e68ecec2c60f7c36b341ef1e5511ed95,2025-10-17T08:56:00.438155,1
46,35256,4. Drafting\Fabs\35256 TRANMITTAL NOTICE.dwg,updated,c7a0db6a56d40c410ffea385313d9e7d,c7a0db6a56d40c410ffea385313d9e7d,2025-10-17T08:56:00.775371,1
47,35256,"4. Drafting\Shippers\35256- Plymate Inc- Shelbyville, IN- SHIPPER .xlsx",updated,53de2dbdbd5efac545b10110d79c8f81,53de2dbdbd5efac545b10110d79c8f81,2025-10-17T08:56:04.079857,1
48,35256,4. Drafting\Shippers\Void Shippers\SHIPPER TEMPLATE - Shortcut.lnk,updated,7b99711fa059325aebb0c007ba7bb94a,7b99711fa059325aebb0c007ba7bb94a,2025-10-17T08:56:04.732405,1
49,35371,35371 KOM AND OC FORM.xlsx,new,,225caf4c9235fad51af22a92b1dc4577,2025-10-17T08:55:55.669896,1
50,35371,1. Sales\4500047876 KEMCO SYSTEMS.pdf,new,,3ffc2f16a3ae2d71aa043b2576353780,2025-10-17T08:56:17.729902,1
51,35371,1. Sales\Order\35371-R3 Cost Template rev40-02.17 - Autofill.xlsm,new,,b983a2eee5cea975f36244ab73446632,2025-10-17T08:56:25.801780,1
52,35371,1. Sales\Order\35371-R3 LAYOUT.dwg,new,,a5f5ecee431b5d870e515ed1daafc116,2025-10-17T08:56:26.927776,1
53,35371,1. Sales\Order\35371-R3 LAYOUT.pdf,new,,0fb6d94cd1e4ab867473d35cb39deb57,2025-10-17T08:56:27.591173,1
54,35371,1. Sales\Order\35371-R3 Utility Requirement.docx,new,,5a438ef0af8f975c02703f039b1dcc4e,2025-10-17T08:56:28.225636,1
55,35371,1. Sales\Order\35371-R3 Utility Requirement.pdf,new,,7b6f3ad583766cd2dbbf5031dffcecc9,2025-10-17T08:56:28.678784,1
56,35371,1. Sales\Order\35371-R3A Proposal.docx,new,,d984ceb980ed91133951b6c67cd0fd26,2025-10-17T08:56:30.650575,1
57,35371,1. Sales\Order\35371-R3A Proposal.pdf,new,,06246fe65beed755cb65accbc837ae9b,2025-10-17T08:56:31.523592,1
58,35371,1. Sales\Order\42-2874revA HTRASSY.dwg,new,,8b37a31c0406b4fdfbf6c9a1d588c578,2025-10-17T08:56:33.888693,1
59,35371,1. Sales\Order\4500047876 KEMCO SYSTEMS.pdf,new,,3ffc2f16a3ae2d71aa043b2576353780,2025-10-17T08:56:34.526045,1
60,35371,1. Sales\Order\~$371-R3A Proposal.docx,new,,5a57c3bd014702de9e10c21fd58eaaba,2025-10-17T08:56:34.945122,1
61,35371,1. Sales\Order\Grundfos Quote\92880232_MLE160B_ - Motor only Spec Sheet.pdf,new,,d5bb971fe9c1f36ef07ea87302af9570,2025-10-17T08:56:36.611187,1
62,35371,1. Sales\Order\Grundfos Quote\EXT_Pump Selection - 400 GPM @ 65 PSI .msg,new,,f242ab26b1f2207ceabe50207b1e9854,2025-10-17T08:56:37.673936,1
63,35371,1. Sales\Order\Grundfos Quote\Grundfos Document.pdf,new,,afcdecec639b9d98f4d205110fa2b841,2025-10-17T08:56:38.814087,1
64,35371,1. Sales\Order\Grundfos Quote\New Microsoft Word Document.docx,new,,0105fe350eccec26e401a1998a574740,2025-10-17T08:56:39.589717,1
65,35371,"3. Engineering\General Design\Heater Design - 35371 - Brakebush Brothers - Hartwell, GA.xlsx",new,,a721ffe85bca757126e15fdd1df8bc33,2025-10-17T08:56:41.689936,1
66,35371,"3. Engineering\General Design\Nozzle Selection - 35371 - Brakebush Brothers - Hartwell, GA - 4in FMP1875W (720-03-022).xlsx",new,,dcb5d7fe1bc841a89a5344cc06da1003,2025-10-17T08:56:42.324294,1
67,35371,"3. Engineering\General Design\NPSH Calculations (HDP) - 35371 - Brakebush Brothers - Hartwell, GA.xlsx",new,,604ab417cd11ed0e4d7c12714c5f5208,2025-10-17T08:56:43.042731,1
68,35371,"3. Engineering\General Design\NPSH Calculations (HWP) - 35371 - Brakebush Brothers - Hartwell, GA.xlsx",new,,bfca1e75cf89cc680b6bf105dcb23e56,2025-10-17T08:56:43.712332,1
69,35371,"3. Engineering\General Design\NPSH Calculations (Recirc Pump) - 35371 - Brakebush Brothers - Hartwell, GA.xlsx",new,,6a985ffef945884ac7b4f355d4f117d4,2025-10-17T08:56:44.376567,1
70,35371,"3. Engineering\General Design\Pump Selection (HDP) - 35371 - Brakebush Brothers - Hartwell, GA - LC40957 15HP 600 GPM.pdf",new,,34d8951cd501a9b01f7b12bab1a12ffa,2025-10-17T08:56:44.875739,1
