2025-10-20 10:12:29,455 - INFO - Project File Monitor started
2025-10-20 10:13:57,950 - INFO - Project File Monitor started
2025-10-20 11:57:09,039 - INFO - Project File Monitor started
2025-10-20 11:59:31,240 - INFO - JOB:35154 | DELETED | 4. Drafting\Systems\21-2709 EQUIPMENT LAYOUT.bak | File removed from project
2025-10-20 11:59:51,375 - INFO - JOB:35042 | NEW | 1. Sales\Order\plot.log | New file (0.2 KB)
2025-10-20 11:59:51,377 - INFO - JOB:35042 | NEW | 1. Sales\Order\plot.log | New file (0.2 KB)
2025-10-20 11:59:57,357 - INFO - JOB:35042 | NEW | 3. Engineering\General Design\Heater Design - 35042 - Whitewater Processing - West Harrison, IN.xlsx | New file (318.0 KB)
2025-10-20 11:59:57,357 - INFO - JOB:35042 | NEW | 3. Engineering\General Design\Heater Design - 35042 - Whitewater Processing - West Harrison, IN.xlsx | New file (318.0 KB)
2025-10-20 11:59:58,113 - INFO - JOB:35042 | NEW | 3. Engineering\General Design\Nozzle Selection - 35042 - Whitewater Processing - West Harrison, IN - SCF70W (720-03-056).xlsx | New file (27.0 KB)
2025-10-20 11:59:58,114 - INFO - JOB:35042 | NEW | 3. Engineering\General Design\Nozzle Selection - 35042 - Whitewater Processing - West Harrison, IN - SCF70W (720-03-056).xlsx | New file (27.0 KB)
2025-10-20 11:59:58,829 - INFO - JOB:35042 | NEW | 3. Engineering\General Design\NPSH Calculations (HDP) - 35042 - Whitewater Processing - West Harrison, IN - NPSH Ratio 4.11.xlsx | New file (35.0 KB)
2025-10-20 11:59:58,858 - INFO - JOB:35042 | NEW | 3. Engineering\General Design\NPSH Calculations (HDP) - 35042 - Whitewater Processing - West Harrison, IN - NPSH Ratio 4.11.xlsx | New file (35.0 KB)
2025-10-20 12:00:00,004 - INFO - JOB:35042 | NEW | 3. Engineering\General Design\Pump Selection (HDP) - CRN 45-1-1.pdf | New file (680.1 KB)
2025-10-20 12:00:00,019 - INFO - JOB:35042 | NEW | 3. Engineering\General Design\Pump Selection (HDP) - CRN 45-1-1.pdf | New file (680.1 KB)
2025-10-20 12:00:01,207 - INFO - JOB:35042 | NEW | 3. Engineering\General Design\Pump Selection (HWP) - CRN 45-2-2.pdf | New file (685.6 KB)
2025-10-20 12:00:01,208 - INFO - JOB:35042 | NEW | 3. Engineering\General Design\Pump Selection (HWP) - CRN 45-2-2.pdf | New file (685.6 KB)
2025-10-20 12:00:01,907 - INFO - JOB:35042 | NEW | 3. Engineering\General Design\WIP - NPSH Calculations (HWP) - 35042 - Whitewater Processing - West Harrison, IN.xlsx | New file (35.0 KB)
2025-10-20 12:00:01,908 - INFO - JOB:35042 | NEW | 3. Engineering\General Design\WIP - NPSH Calculations (HWP) - 35042 - Whitewater Processing - West Harrison, IN.xlsx | New file (35.0 KB)
2025-10-20 12:00:04,365 - INFO - JOB:35042 | NEW | 3. Engineering\Releases\Heater Release v2.23 - 35042 - Whitewater Processing - West Harrison, IN.xlsx | New file (3.6 MB)
2025-10-20 12:00:04,365 - INFO - JOB:35042 | NEW | 3. Engineering\Releases\Heater Release v2.23 - 35042 - Whitewater Processing - West Harrison, IN.xlsx | New file (3.6 MB)
2025-10-20 12:00:06,539 - INFO - JOB:35042 | UPDATED | 3. Engineering\Releases\WIP - Mechanical Release 2.05 - 35042 - Whitewater Processing - West Harrison, IN.xlsx | Content changed & File modified
2025-10-20 12:00:06,540 - INFO - JOB:35042 | UPDATED | 3. Engineering\Releases\WIP - Mechanical Release 2.05 - 35042 - Whitewater Processing - West Harrison, IN.xlsx | Content changed & File modified
2025-10-20 12:00:19,618 - INFO - JOB:35042 | DELETED | 3. Engineering\General Design\WIP - NPSH Calculations (HDP) - 35042 - Whitewater Processing - West Harrison, IN.xlsx | File removed from project
2025-10-20 12:00:19,619 - INFO - JOB:35042 | DELETED | 3. Engineering\General Design\WIP - Heater Design - 35042 - Whitewater Processing - West Harrison, IN.xlsx | File removed from project
2025-10-20 12:00:19,620 - INFO - JOB:35042 | DELETED | 3. Engineering\Releases\WIP - Heater Release v2.23 - 35042 - Whitewater Processing - West Harrison, IN.xlsx | File removed from project
2025-10-20 12:00:19,620 - INFO - JOB:35042 | DELETED | 3. Engineering\General Design\WIP - Nozzle Selection - 35042 - Whitewater Processing - West Harrison, IN.xlsx | File removed from project
2025-10-20 12:02:01,873 - INFO - JOB:35394 | UPDATED | 4. Drafting\Systems\21-2703 Control Panel Assembly.dwg | Content changed & File modified
2025-10-20 12:02:05,536 - INFO - JOB:35394 | UPDATED | 4. Drafting\Systems\35394-07 Heater Wiring Diagram.dwg | Content changed & File modified
2025-10-20 12:02:06,160 - INFO - JOB:35394 | UPDATED | 4. Drafting\Systems\42-3197, TE100 Heater JB, YP148 Single Burner Assembly.dwg | Content changed & File modified
2025-10-20 12:02:09,474 - INFO - JOB:35394 | UPDATED | 4. Drafting\Systems\plot.log | Content changed & File modified
2025-10-20 12:02:09,814 - INFO - JOB:35394 | NEW | 4. Drafting\Systems\SHOPTRANS HTRWIRING.dwg | New file (79.7 KB)
2025-10-20 12:02:17,498 - INFO - JOB:35394 | NEW | Status Reports\35394-Notes-2025-10-20_1017AM.xlsx | New file (5.5 KB)
2025-10-20 12:04:24,313 - INFO - JOB:35354 | NEW | 4. Drafting\Systems\35354 OZINGA TRUCK LAYOUT.pdf | New file (390.4 KB)
2025-10-20 12:04:24,313 - INFO - JOB:35354 | NEW | 4. Drafting\Systems\35354 OZINGA TRUCK LAYOUT.pdf | New file (390.4 KB)
2025-10-20 12:06:07,354 - INFO - JOB:35354 | UPDATED | 4. Drafting\Systems\plot.log | Content changed & File modified
2025-10-20 12:06:07,354 - INFO - JOB:35354 | UPDATED | 4. Drafting\Systems\plot.log | Content changed & File modified
2025-10-20 12:06:27,532 - INFO - JOB:35354 | DELETED | 4. Drafting\Systems\42-3249 HTR ASSY.bak | File removed from project
2025-10-20 12:06:27,534 - INFO - JOB:35354 | DELETED | 4. Drafting\Systems\42-3248 SCHEMATIC FLOW.bak | File removed from project
2025-10-20 12:06:27,535 - INFO - JOB:35354 | DELETED | 4. Drafting\Package\TRANS PKG 10.06.25.bak | File removed from project
2025-10-20 12:06:27,536 - INFO - JOB:35354 | DELETED | 4. Drafting\Systems\35354 OZINGA TRUCK LAYOUT.bak | File removed from project
2025-10-20 12:06:27,537 - INFO - JOB:35354 | DELETED | 4. Drafting\Systems\21-2702 EQUIPMENT LAYOUT.bak | File removed from project
2025-10-20 12:06:27,537 - INFO - JOB:35354 | DELETED | 4. Drafting\Fabs\35354-01 TRANSMITTAL NOTICE 10-10-2025.bak | File removed from project
2025-10-20 12:06:27,539 - INFO - JOB:35354 | DELETED | 4. Drafting\Systems\SHOPTRANS HTRWIRING.bak | File removed from project
2025-10-20 12:06:27,539 - INFO - JOB:35354 | DELETED | 4. Drafting\Systems\35354-06 HTRWIRING.bak | File removed from project
2025-10-20 12:09:32,282 - INFO - JOB:35371 | NEW | 3. Engineering\Markups\20251020 System Print Markups - 35371 - Brakebush Brothers - Hartwell, GA.pdf | New file (4.4 MB)
2025-10-20 12:09:32,282 - INFO - JOB:35371 | NEW | 3. Engineering\Markups\20251020 System Print Markups - 35371 - Brakebush Brothers - Hartwell, GA.pdf | New file (4.4 MB)
2025-10-20 12:09:36,259 - INFO - JOB:35371 | NEW | 3. Engineering\Releases\20251017 Heater Release v2.23 - 35371 - Brakebush Brothers - Hartwell, GA.xlsx | New file (3.6 MB)
2025-10-20 12:09:36,259 - INFO - JOB:35371 | NEW | 3. Engineering\Releases\20251017 Heater Release v2.23 - 35371 - Brakebush Brothers - Hartwell, GA.xlsx | New file (3.6 MB)
2025-10-20 12:09:39,831 - INFO - JOB:35371 | NEW | 3. Engineering\Releases\20251017 LL Parts By Finished Good - 35371 - Brakebush Brothers - Hartwell, GA.xlsx | New file (4.4 MB)
2025-10-20 12:09:39,831 - INFO - JOB:35371 | NEW | 3. Engineering\Releases\20251017 LL Parts By Finished Good - 35371 - Brakebush Brothers - Hartwell, GA.xlsx | New file (4.4 MB)
2025-10-20 12:09:44,148 - INFO - JOB:35371 | NEW | 3. Engineering\Releases\20251017 Mechanical Release 2.05 - 35371 - Brakebush Brothers - Hartwell, GA.xlsx | New file (4.8 MB)
2025-10-20 12:09:44,148 - INFO - JOB:35371 | NEW | 3. Engineering\Releases\20251017 Mechanical Release 2.05 - 35371 - Brakebush Brothers - Hartwell, GA.xlsx | New file (4.8 MB)
2025-10-20 12:10:21,487 - INFO - JOB:35371 | NEW | 4. Drafting\Fabs\HTR\35371-01 HTR 84X12 FGR.idw.dwf | New file (6.4 MB)
2025-10-20 12:10:21,487 - INFO - JOB:35371 | NEW | 4. Drafting\Fabs\HTR\35371-01 HTR 84X12 FGR.idw.dwf | New file (6.4 MB)
2025-10-20 12:10:36,250 - INFO - JOB:35371 | NEW | 4. Drafting\Fabs\HTR\35371-02 HEATER FGR ASSY.iam.dwf | New file (38.9 MB)
2025-10-20 12:10:36,250 - INFO - JOB:35371 | NEW | 4. Drafting\Fabs\HTR\35371-02 HEATER FGR ASSY.iam.dwf | New file (38.9 MB)
2025-10-20 12:10:37,235 - INFO - JOB:35371 | NEW | 4. Drafting\Fabs\HTR\35371-02 HEATER FGR ASSY.idw.dwf | New file (1.2 MB)
2025-10-20 12:10:37,235 - INFO - JOB:35371 | NEW | 4. Drafting\Fabs\HTR\35371-02 HEATER FGR ASSY.idw.dwf | New file (1.2 MB)
2025-10-20 12:10:38,238 - INFO - JOB:35371 | NEW | 4. Drafting\Fabs\HTR\35371-02.1 FGR STACK 16.iam.dwf | New file (305.4 KB)
2025-10-20 12:10:38,245 - INFO - JOB:35371 | NEW | 4. Drafting\Fabs\HTR\35371-02.1 FGR STACK 16.iam.dwf | New file (305.4 KB)
2025-10-20 12:10:38,971 - INFO - JOB:35371 | NEW | 4. Drafting\Fabs\HTR\35371-02.1 FGR STACK 16.idw.dwf | New file (233.8 KB)
2025-10-20 12:10:38,972 - INFO - JOB:35371 | NEW | 4. Drafting\Fabs\HTR\35371-02.1 FGR STACK 16.idw.dwf | New file (233.8 KB)
2025-10-20 12:10:39,700 - INFO - JOB:35371 | NEW | 4. Drafting\Fabs\HTR\35371-02.2 FGR PIPING.iam.dwf | New file (394.7 KB)
